Assembly,State_Name,Party_Name,Party_Type,Party_ID,Frequent_Abbreviation,Last_Abbreviation,Abbreviations,Start_Year,Last_Year,No_Assemblies_Contested,Assemblies_Contested,Candidates_Contested,Candidates_Represented,Females_Contested,Females_Represented,SC_Seats_Contested,SC_Seats_Represented,ST_Seats_Contested,ST_Seats_Represented,BiPoll_Contested
Lok_Sabha,All_States,CONGRESS,National Party,3482,INC,INC,INC|INC(I),1962,2019,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,7392,3307,676,277,1091,440,585,293,235
Lok_Sabha,All_States,Bharatiya Janata Party,National Party,1605,BJP,BJP,BJP,1981,2019,11,7|8|9|10|11|12|13|14|15|16|17,3904,1601,309,161,548,228,349,144,114
Lok_Sabha,All_States,COMMUNIST MARXIST PARTY OF INDIA,State-based Party,14635,CPM,CPIM,CPM|CPI(M)|CPI (M)|CPI(Marxist),1965,2019,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1003,370,78,30,154,69,76,21,20
Lok_Sabha,All_States,Bharatiya Lok Dal,National Party,1711,BLD,BLD,BLD,1977,1977,1,6,405,295,13,8,56,45,30,20,0
Lok_Sabha,All_States,Janata Dal,National Party,4217,JD,JD,JD,1989,1998,4,9|10|11|12,949,255,40,9,143,49,83,9,6
Lok_Sabha,All_States,Communist Part of India,State-based Party,2444,CPI,CPI,CPI|CP,1962,2019,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1011,171,52,12,130,21,87,6,20
Lok_Sabha,All_States,DRAVIDA MUMMETRA KAZHAGAM,State-based Party,10192,DMK,DMK,DMK,1962,2019,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,350,170,16,6,62,32,0,0,5
Lok_Sabha,All_States,Independent,Independents,10809,IND,IND,IND|IIND|INDEPENDENT,1962,2019,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,48702,168,1827,8,4640,10,1449,29,1615
Lok_Sabha,All_States,Samajwadi Party,State-based Party,7425,SP,SP,SP,1992,2019,8,10|11|12|13|14|15|16|17,1141,144,110,16,184,32,49,0,37
Lok_Sabha,All_States,Telugu Desam,State-based Party,8300,TDP,TDP,TDP|TD,1984,2019,10,8|9|10|11|12|13|14|15|16|17,338,135,28,9,52,22,11,4,12
Lok_Sabha,All_States,All India Anna Dravida Munnetra Kazhagam,State-based Party,930,ADMK,ADMK,ADK|ADMK|AIDMK,1977,2019,12,6|7|8|9|10|11|12|13|14|15|16|17,263,132,14,7,50,27,0,0,4
Lok_Sabha,All_States,shiv sena,State-based Party,18691,SHS,SHS,SHS|SS,1971,2019,11,5|7|9|10|11|12|13|14|15|16|17,570,102,29,6,56,13,22,1,5
Lok_Sabha,All_States,Bahujan Samaj Party,State-based Party,16651,BSP,BSP,BSP|B.S.P,1987,2019,10,8|9|10|11|12|13|14|15|16|17,3034,92,153,9,526,24,188,0,39
Lok_Sabha,All_States,All India Trinamool Congress,State-based Party,18228,AITC,AITC,AITC,1999,2019,5,13|14|15|16|17,303,92,66,28,44,21,20,2,13
Lok_Sabha,All_States,Biju Janata Dal,State-based Party,9079,BJD,BJD,BJD,1998,2019,6,12|13|14|15|16|17,98,78,11,9,17,16,17,9,2
Lok_Sabha,All_States,Swatantara Party,National Party,12923,SWA,SWA,SWA,1962,1972,3,3|4|5,420,72,19,10,47,7,33,7,10
Lok_Sabha,All_States,Bharatiya Jan Sangh,National Party,4152,BJS,BMUP,JS|BJS,1962,1971,3,3|4|5,606,71,10,3,95,12,37,3,4
Lok_Sabha,All_States,Janata Dal  (United),State-based Party,11002,JD(U),JD(U),JD(U),1999,2019,5,13|14|15|16|17,313,68,16,4,40,12,28,1,7
Lok_Sabha,All_States,Janata Party,National Party,4406,JNP,JP,JP|JAP|JNP|JNP(JP)|JNP (JP),1962,2019,14,3|4|5|6|7|8|9|10|11|12|13|14|15|17,1418,61,59,2,193,7,90,4,40
Lok_Sabha,All_States,AKALI DAL,State-based Party,16994,SAD,SAD,AD|SAD,1962,2019,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,125,60,11,7,33,15,0,0,6
Lok_Sabha,All_States,Rashtriya Janata Dal,State-based Party,12103,RJD,RJD,RJD,1998,2019,6,12|13|14|15|16|17,319,60,28,4,38,7,12,0,6
